것,참다,놓치다,집어넣다,다정하다,비판적
자료,본격적,중요성,지난날,명령어,만세
존재,불가능하다,크다,진급,목욕탕,만화가
학년,인제,탤런트,콩나물,미끄러지다,맘대로
신문,충격,특별히,튀어나오다,바닷물,머리말
가지다,퍼지다,품질,표준,변신,면접
이해하다,금방,회견,항구,부친,명함
제품,남쪽,훔치다,허용,붙잡히다,몸속
분야,누르다,흔적,헬기,브랜드,무책임하다
선생,미술,고전,간신히,빨다,반짝거리다
돌아가다,백성,과학적,갈아입다,사무,밤새우다
사업,상당히,구분하다,감다,사소하다,번지
행위,색깔,그럼,같이하다,상,볼펜
수준,요리,뇌,거짓,상쾌하다,빨간색
지난해,유명하다,봉투,거품,성,사립
표현,자네,분명,걸어오다,손길,사생활
기분,기,사설,공군,순위,사이사이
대,꽤,승리,기술자,식사하다,사자
젊다,서로,좌우,나물,쌍,새소리
동시,외국인,주,달리기,썰렁하다,생활수준
옷,한참,지다,대도시,암시,서툴다
기능,군사,추억,도둑,앞날,석사
순간,끊다,하여튼,도전,역사상,성당
전쟁,넘어가다,함부로,면,연주,속마음
전,담기다,향기,모자,우울하다,손잡다
꿈,마당,현지,보조,우체국,숙녀
할머니,부인,가늘다,불리하다,울리다,순하다
회의,서두르다,개인적,불편,육상,시댁
방송,지적,겉,비비다,음주,시부모
이야기하다,짝,굽히다,사과,이별,신체적
나무,참으로,근무하다,살아나다,인재,실수하다
자다,충분하다,깜짝,소파,인종,쓴맛
연극,기쁘다,넓히다,속이다,일시적,야옹
오늘,뛰다,대,수면,재밌다,얼마간
마찬가지,숙제,떠들다,수천,전문적,올여름
걷다,앞두다,매년,스무,젊음,외제
노동,예산,발생,승부,점잖다,외출하다
이때,온갖,셋,시기,조개,욕하다
과거,우려,소주,신념,주무시다,위아래
가치,우산,손바닥,신입생,중계방송,음반
시간,기쁨,승용차,어린아이,중독,의논
집단,깊이,어색하다,어쩐지,지급,이
현대,꾸미다,얹다,여간,진실하다,이래서
살펴보다,늘리다,의학,역,차창,이발소
장관,무릎,장점,연락하다,초청하다,자살하다
차이,발견되다,적당히,영향력,출발점,자연적
풀다,보호하다,줍다,예의,출판,장례식
시절,시스템,진출,이내,출현하다,재수
물건,이용,창조,이리저리,클럽,재작년
직접,지난달,킬로그램,인간적,키스,재채기
개인,지르다,평범하다,인사하다,탈출하다,전구
근데,참여,프로,임금,판사,전문점
발,걸음,홍보,잘나다,허락,전통문화
작가,겨우,확인,재능,확신,정거장
효과,마르다,가루,지불하다,흐리다,존댓말
불교,비교적,건지다,파출소,걱정스럽다,주전자
끌다,애쓰다,깨지다,판,건설되다,지우다
대로,올바르다,내다보다,한문,고개,찬성
빨리,책상,대량,건네주다,고프다,초보자
시작되다,춥다,동행,결승,그제야,초청장
둘,흔하다,들,공공,금연,촌스럽다
말다,높아지다,떼,교양,기성세대,카레
설명하다,늙다,마땅하다,국왕,기술하다,컨디션
우주,단위,바로잡다,규칙적,까치,코스모스
시기,둘째,박히다,극복,꿈속,킬로
마치,뛰어나다,방금,글쎄요,나비,토론자
살,무겁다,생선,내려지다,남북,튼튼히
생산,바람,슬픔,냉동,납득하다,티셔츠
바라다,상상,아무렇다,녹다,단,페인트
강하다,소득,이용되다,대개,대사관,평상시
경험,수도,이튿날,년생,독창적,학교생활
음악,역,임시,배추,되풀이되다,한둘
최고,인식하다,제거하다,센터,떠나가다,해물
나타내다,자,줄다,수염,떠들썩하다,형
아프다,침대,지구,수집하다,뜻대로,혼나다
적다,권,지우다,승객,레스토랑,가만
비,뜨다,참기름,싱싱하다,로봇,감정적
고향,맺다,통,아아,만점,강북
놀라다,수요,특수,어리다,매달,거리
다양하다,스타,팬,여권,모여들다,고무신
울다,시계,합치다,열쇠,묵다,고춧가루
농민,입술,호기심,오렌지,바깥쪽,관람
드러나다,잎,골목,외모,배고프다,교외
은행,중간,기운,인공,버섯,교육비
지내다,지도자,기획,잠자리,보수,국립
결혼,천천히,대충,장남,보안,금
동생,구성하다,돌아서다,저마다,뵈다,기억되다
법,대체로,동화,전국적,부,까다
소설,때리다,두껍다,전반,비웃다,꽃씨
예,몹시,맞서다,제자리,비키다,꾸준하다
오후,문득,모자라다,지루하다,사나이,난방
질서,스포츠,박다,척,사모님,내용물
담다,위원장,본성,포도주,삼,녹화
모이다,저기,상상하다,학술,상징적,농구
시민,특별하다,생산력,혈액,색다르다,달다
회장,효과적,셋째,화살,세미나,뒷골목
빠르다,가까이,안전하다,화재,세제,들어주다
스스로,낫다,유학,가르다,속삭이다,디자이너
아기,넘어서다,이르다,각각,시일,따로따로
아저씨,볶다,장비,간격,시합,뛰어나가다
옛날,생산하다,정치인,고함,신속하다,뛰어놀다
이날,언젠가,정치적,공격하다,신제품,라이벌
제대로,예술가,졸업,그놈,신중하다,매번
달,의도,처벌,기록되다,썩,먹다
던지다,저지르다,카페,끝없다,암컷,무관심하다
참,줄어들다,콤플렉스,끼어들다,여행하다,무사하다
공간,가만히,검토,노선,예고하다,밤낮
이곳,건,그다음,답,위반하다,배구
딸,교회,기법,대사,윗몸,번역하다
마지막,대개,끓다,도망치다,은은하다,병아리
벌이다,외부,날아오다,독서,이해관계,부지런하다
병원,한두,농담,동,익히다,부피
자세,한때,닭,동의하다,일대,비기다
강조하다,화,담임,딱딱하다,입력,생활용품
경찰,흙,도중,땅속,자연현상,선풍기
맡다,가난하다,두드러지다,벌금,정류장,세로
저녁,고객,맥주,복,정신없이,섹시하다
한편,과학자,모래,봉사,정직하다,소비하다
그러면,관광,살아남다,부서,조정하다,수리하다
기자,살아오다,살인,성,주름,스물
넓다,상대적,성질,소형,중요,식료품
시험,수술,신호,신인,챔피언,식히다
잠,식품,아버님,악몽,최신,싫어지다
주로,연기,의심하다,안내,축하,씻기다
훨씬,일월,인,앞뒤,취소,얼리다
면,조,잇따르다,언덕,캐릭터,여직원
통일,첫째,자랑하다,열정,커튼,열리다
들어서다,회원,자판,오페라,팬,옆방
건강,도서관,적용,입맛,해롭다,오피스텔
가깝다,들려오다,전기,재즈,현관문,올가을
건물,조금씩,중반,적응하다,활발해지다,와이셔츠
시설,조미료,지시하다,절대,회복되다,원피스
외국,풀리다,출발,접시,희생하다,윗사람
밑,강력하다,허용하다,제공,가능해지다,이민
어른,들여다보다,가르침,지나치다,겨울철,이성
주변,마늘,각국,참가,고추장,이혼하다
대신,선물,교과서,체중,골프장,인제
원인,습관,그려지다,추석,공연히,입사하다
팔다,아주머니,꾸준히,충돌,과정,재우다
차례,위험,년도,통로,국수,전시되다
군,지하,다수,포장,국제적,졸리다
열심히,활용하다,덕분,해소,그루,졸음
일하다,가꾸다,돼지,행해지다,그전,종이컵
재산,고민,두드리다,현관,금고,주문
조금,떠올리다,무리,현대인,꾸중,지능
팀,맨,물음,혜택,끌어당기다,쩔쩔매다
부모,법률,빌다,호수,끼,철
약간,상처,수영,확,능동적,청바지
언어,좁다,스님,건너가다,달빛,추가되다
요구하다,지하철,썩다,골고루,당분간,치료법
올라가다,집다,어머님,구석구석,도움말,치우다
첫,현,엉뚱하다,그제서야,되살리다,코끼리
감독,화면,여보,녹색,뒷산,콘서트
그날,군,잊어버리다,다,땜,큰소리
사실,대표적,정면,등록증,만족하다,큰아들
자주,만일,조각,막내,맵다,특급
당하다,사회적,태우다,반복되다,메다,평일
삼다,생겨나다,해석,발전,몰려오다,풀어지다
약,이어,가리다,방해,물질적,한겨울
기간,주부,개국,번호,미인,한평생
담배,진리,계산하다,벼,믿어지다,해수욕장
일으키다,태양,근원,본인,반죽,핸드폰
일단,틀림없다,기차,상점,반지,허허
할아버지,프로,담그다,수백,밤,호실
조직,피다,마음대로,실장,배치,휴지통
태어나다,공급,며느리,쓸쓸하다,백인,흐려지다
공장,도로,믿음,악수,본,희망하다
벌써,동료,발견,애,본사,힘들어하다
즐기다,잘못,보고,어지럽다,부르다,강의하다
지,지다,부탁하다,어찌하다,불평등하다,걱정되다
환자,채우다,사용자,예정되다,비타민,공연하다
변하다,균형,사회주의,이중,빌딩,내과
사고,기본적,설치되다,인원,빠뜨리다,넷째
그래도,부족,수도권,인정받다,산속,된장찌개
아무리,사무실,식탁,인터뷰,새로이,목걸이
맞추다,이월,실패하다,입학하다,서양인,무지개
쌀,일요일,영원하다,자랑,소지품,문법
일반,접근,우연히,저것,송이,볶음
재미있다,지켜보다,자극,정문,쇠,볼링
가르치다,개성,정해지다,착각,수컷,비둘기
대화,달리다,직접,창,승리하다,생활비
막다,더하다,짚다,친정,식초,스키장
올해,띄다,총리,켜지다,심부름,시대적
형,무너지다,칭찬,타입,씨앗,쓰다
달리,보통,튼튼하다,팩,야외,앞문
버리다,쓰다,햇빛,표시하다,얻어먹다,인도
붙이다,이러다,공원,행하다,엄숙하다,책방
인물,일어서다,긍정적,활짝,여가,추가하다
늘,죄,논의하다,감상하다,여동생,칠판
모두,참,대출,개별,연상하다,크리스마스
전국,총장,덕,공식적,옆집,탁구
마치다,핵심,돌보다,그런대로,오래간만,현대적
전,후반,뒤집다,기독교,오래도록,구
다만,단순히,먼지,깨달음,올려다보다,나흘
도움,달려가다,바닷가,끼다,외다,늦가을
가정,방문,바치다,넘어지다,외침,다이어트
걸다,불만,반하다,눈부시다,이빨,목요일
빠지다,불편하다,발표되다,단점,이해,못생기다
멀다,실제,부정하다,들려주다,일손,영화관
버스,종,불러일으키다,뚜껑,잠바,예술적
오늘날,피,사원,마음먹다,잠수함,장모
잠시,강,소유자,목록,장수,중국집
농업,관객,씹다,반복하다,장학금,지우개
대다,동작,아무튼,반성하다,재다,지하도
식,뜻하다,안되다,별명,점심시간,튀김
의견,막,액수,보전,지도하다,고궁
무대,밀리미터,왠지,불어오다,지적,고속버스
사진,비싸다,욕심,소유하다,진로,단추
주장,숫자,우승,수박,진행자,대중적
표현하다,열,익다,스위치,쪽,뚱뚱하다
인하다,왼쪽,제출하다,신세,찾아다니다,미역
이상하다,중세,조심스럽다,아까,책임감,반말
제일,택시,직전,알아내다,체온,분홍색
붙다,통합,짐작하다,암,초밥,사
아마,계산,택하다,야단,출구,소포
얘기하다,꼬리,터,얘,출입문,손녀
잇다,놀랍다,피시,엔,통과,수영장
조금,양식,흘러나오다,연결,포장마차,아래층
경기,예전,가구,연관,푸다,일본어
목적,저,간단히,용서하다,풀,작은아버지
태도,전기,강물,우정,피망,잠옷
남성,주식,거꾸로,육군,필름,장갑
주위,틀리다,궁극적,음식점,한결,초순
대책,끊임없이,극히,의논하다,한여름,퇴원하다
그만,모델,기여하다,인분,항공,하순
발생하다,붓다,꼭,주요하다,호선,갈비
다리,상식,날짜,죽,회전,기혼
아무,상표,대륙,차마,휴지,도장
어쩌다,시원하다,되게,참조,가려지다,동물원
재료,아니하다,뒤따르다,첫째,가위,모레
각각,어디,리듬,타고나다,고속,삼계탕
결코,의식하다,모니터,태우다,곧다,생신
옮기다,고모,범인,행사,골치,서른
항상,궁금하다,변동,향수,구하다,시내버스
해,둘러싸다,불가피하다,허용되다,그때그때,아홉
잃다,딱,삶다,가입,내달,예약하다
자유,뛰다,샌드위치,가정,넷째,우표
책임,민주화,서류,과자,놔두다,장미
바뀌다,보도,손해,교체,늦어지다,천둥
비슷하다,살피다,숨지다,김,도망가다,퇴원
심하다,않다,아유,꼬마,독하다,파란색
경쟁,약하다,요청,끝없이,땅콩,게으르다
달러,잘못하다,운,나르다,뜰,기념품
사랑하다,잡지,일상생활,놀리다,뜻밖에,냉면
아니,거부하다,자존심,늘어놓다,만,단풍
여름,공무원,주저앉다,닫히다,명단,독일어
자라다,그만두다,증권사,대표하다,무의미하다,떡볶이
회,댁,진하다,대학교,문구,문학적
구체적,반갑다,초원,도로,뭣,미끄럽다
기회,부족,최종,돼지고기,미만,복숭아
실시하다,실시,회복하다,두려워하다,백색,비빔밥
지구,운명,흘러가다,뜻밖,비바람,여든
번째,재정,흥미,막걸리,사기,외아들
소비자,차라리,검사,맡다,사망하다,이따가
싫다,학자,그쪽,미스,사무직,일흔
규모,다녀오다,꾸다,밀리다,소질,장인
기준,달다,내려다보다,밥그릇,솜,화요일
말,대규모,눈썹,방문,시디롬,강아지
반드시,동,대신하다,병들다,식생활,닷새
셈,민간,두렵다,부러지다,신호등,동서남북
갖추다,법원,등장,불꽃,신혼여행,선물하다
그러니까,비디오,디자인,상대성,실,아이스크림
받아들이다,사실상,마디,설문,씩씩하다,외할아버지
값,아끼다,미처,소설가,연구실,요리하다
현장,이쪽,비닐,쓸다,월드컵,입국
건설,지대,비율,안녕히,유머,주차
꺼내다,판단하다,생물,안팎,의류,체육관
노동자,행복하다,소음,예방하다,입원,최소
동네,굽다,양국,올,잊혀지다,칠
언제나,기름,얼핏,유의하다,잘살다,칼국수
완전히,실천하다,오래되다,유학,장가,큰아버지
자동차,쏟아지다,웬,이해되다,적응,홍차
전하다,연습,조각,인하,정리되다,국민적
존재하다,오른쪽,중부,작성,조,국제선
개월,용어,차,잘리다,졸업생,다섯째
맞다,익히다,채소,전달,죽다,동양인
별로,지도,침,전시회,창피하다,맛없다
어린이,지위,털,전화하다,친절,백
정하다,풍부하다,판매하다,전환하다,침실,사십
한마디,화장실,항의,정치학,태권도,안과
유지하다,기억하다,해당,좌석,토론하다,연락처
이데올로기,식량,확보,주문,하나하나,연세
공부하다,실험,환경오염,집안일,합하다,예식장
대중,용기,가치관,체계적,핸드백,월세
늘어나다,토론,검은색,출근,햄버거,위층
닦다,고급,고생하다,크림,가정교사,인삼차
만,고생,기원전,탁월하다,감사,진찰
말씀,미치다,기타,텅,공통적,초록색
괜찮다,밟다,긴급,토하다,교육자,축구공
눈물,상당하다,꺾다,푹,교재,큰딸
각종,섞다,꿈꾸다,한순간,기타,팔
빛,수석,무려,가사,길어지다,결석
아니,없애다,묻히다,가입자,깨소금,김치찌개
피하다,이뤄지다,수표,감소하다,나빠지다,녹차
거치다,적절하다,실태,개구리,남,독감
나아가다,정상,아쉽다,결과적,놓아두다,만두
야,제사,애정,괴롭히다,대접하다,발음하다
지식,주말,얘,구별,두통,보라색
현재,지혜,어머,깨우다,뛰어내리다,복습하다
여전히,참새,여보세요,끈,무궁화,스케이트
주인,화장품,일정,끊기다,바이러스,실례하다
발견하다,굵다,장르,끊임없다,방바닥,여섯
선,깨끗이,저렇다,넉넉하다,번거롭다,연두색
인류,낡다,접하다,동전,사냥,온돌
특징,내년,정성,두어,사회생활,육
드리다,농산물,제약,마약,설거지,일곱
선수,눈앞,쫓다,밑바닥,수년,출입국
형식,대학생,천,보도되다,수출하다,클래식
마련하다,방문하다,추가,보리,숙소,팝송
반,붉다,테이프,본부,슈퍼마켓,팩스
발표하다,사고,품,부,심리적,국내선
주제,순서,해석,성숙하다,연기,떡국
걸치다,아무래도,확인되다,소극적,위로,복습
겪다,연구소,가하다,소용,이용자,삼십
관점,올,간장,손질하다,입력하다,성함
귀,위대하다,강의,수건,자격증,세탁소
기본,이사,거,순식간,진료,시외버스
미터,지배하다,고민하다,시도,창가,야구장
사라지다,틈,과,시집,초조하다,오십
어떠하다,가령,교환,아무개,타다,운동복
감정,거대하다,국어,약점,한잔하다,작은아들
기억,닫다,노랗다,양복,함께하다,잠자리
놈,드물다,다치다,어째서,합격하다,주차하다
인기,들르다,동양,어쩌다,화장지,중국어
배,매달리다,동포,얼다,힘껏,청소기
아파트,생일,뚫다,여,가요,칠십
가끔,섬,상,연령,감상,필통
구성,이하,새,예비,공짜,학생증
술,참석하다,악기,울음소리,공통되다,형수
실제로,토대,연말,이놈,그만하다,공항버스
짧다,해결,올려놓다,이력서,김,관광버스
고맙다,행복,외면하다,인정되다,나들이,그저께
관리,걸어가다,원고,잠자다,녹이다,냉방
그곳,근로자,정말,젓가락,눈가,눈병
달다,글쎄,줄곧,주년,도망,다섯째
보다,목숨,지출,중단하다,동기,배추김치
비롯하다,백화점,차,중대하다,모기,사탕
과연,변화하다,치우다,중심지,미니,색연필
들리다,병,피로,집중적,방면,소아과
달리다,빠져나가다,향,참되다,법적,양력
바쁘다,안녕하다,개선하다,초청,벤치,예순
이전,여론,계좌,출판사,보수,오
인정하다,의복,당기다,탁자,볼일,작은어머니
자,체조,도,토끼,부끄러움,축구장
중앙,출발하다,들다,퍽,비누,한글날
나쁘다,현실적,따르다,풍속,비행,한식
불구하다,화제,말기,피아노,빗줄기,넉
시키다,결정되다,말없이,핑계,사회학,메일
게임,고양이,망하다,한층,성적,복사기
국제,공격,문서,행운,세수,빗
그룹,물가,박수,가로막다,순진하다,설렁탕
인생,민주주의,부자,간섭,스웨터,아드님
전통,불안,사흘,갈증,심심하다,천
기르다,소중하다,서쪽,갑작스럽다,어려워지다,결석하다
잔,여유,성립되다,교환하다,여행사,기념일
조사하다,의문,손자,그래야,올라서다,까만색
커다랗다,중학교,신랑,기원,왼손,내후년
있다,킬로미터,실습,길가,유학생,따님
시인,파도,일찍이,난리,은,쉰
언제,흰색,자율,남매,자리,시아버지
외,가수,제법,내버리다,잘생기다,식품점
평가,단,집중되다,달리하다,장애인,약혼녀
내려오다,방송국,창조적,뛰어가다,재활용품,어저께
위치,빛나다,천장,미사일,저러다,영상
줄이다,숨다,파다,발가락,저리,예매하다
가격,실리다,하긴,보존,절약하다,예습
달라지다,압력,해결되다,보호되다,정반대,예습하다
비다,예금,향상,뵙다,조,육십
삼국,예상되다,화가,부치다,진동,출석하다
손님,입학,가라앉다,상관,찌개,큰어머니
원하다,증권,감싸다,설명되다,추천,팔십
통신,직후,고작,섭섭하다,학점,멍멍
확인하다,차량,구경하다,세,한가하다,분필
모임,출산,국물,세련되다,합격,약혼자
수,물다,기구,손쉽다,환영하다,양식
아무,선진국,깔다,안주,간접적,억
웃음,약,다짐하다,어린애,갈다,여덟
기계,어느새,대합실,열기,경영하다,외과
모양,재판,매장,옷차림,그리움,제과점
물질,저쪽,멀어지다,위로하다,그사이,중식
아나운서,제자,명칭,이같이,기념하다,케첩
뉴스,창문,불쌍하다,인형,기도,편의점
살아가다,초,상업,일치,길거리,갈비탕
펴다,치즈,생산되다,재생,꽃잎,검정색
배,회복,숨기다,전철,넥타이,미용실
수업,구역,실력,찢어지다,대강,아흔
겨울,대응,야채,철학자,독립하다,이십
종교,반대하다,엉덩이,축하하다,돌려주다,일식
층,발휘하다,울음,컬러,들이마시다,작은딸
자연스럽다,소비,이달,통화,뛰어오르다,저곳
장,심장,인체,특이하다,라이터,초등학생
돌다,아이고,저고리,필연적,매일,하얀색
식사,조용히,전부,하룻밤,문밖,
안다,중소기업,즐거움,흘러내리다,방송하다,
이해,직접적,지다,가짜,보충하다,
잊다,진실,진단,강도,불완전하다,
제시하다,필자,질병,곰,불평,
반,협력,짜다,급히,붐비다,
불과하다,가스,체력,기념,생활환경,
혹은,계층,친하다,나아지다,서명,
엄청나다,구멍,헤아리다,넘어오다,손등,
편,담당,각기,되돌리다,역사학,
텔레비전,만화,경찰서,띄우다,영,
파악하다,먹이다,곧바로,매너,오리,
편,무시하다,관찰,민속,요리사,
실천,보도하다,구두,버려지다,원,
노력하다,살짝,군사,빗물,원서,
보호,생각나다,귀신,사위,월,
씻다,우유,귀하다,설날,이론적,
한편,인상,그토록,설득하다,이제야,
늦다,차갑다,기초하다,손질,임신하다,
이웃,철저하다,깊이,손톱,입원하다,
편지,태아,나뭇가지,식빵,자취,
공동,관찰하다,낫다,아르바이트,잠그다,
까닭,괜히,답하다,외로움,잡수시다,
방안,끼다,대가,외우다,장난감,
센티미터,날개,더위,운전자,장례,
팔,녀석,되찾다,유리창,전기밥솥,
분명하다,눈빛,말리다,입대,지금껏,
분석,단지,무덤,적성,지름길,
소녀,두르다,물결,전망하다,지진,
지나가다,드디어,밥상,집단적,참석자,
차,물속,보장하다,차이점,창구,
상품,민주,사과,찬물,최저,
설명,성공하다,사귀다,철도,코미디,
훌륭하다,소나무,서너,총각,튀기다,
관계자,여기저기,솟다,캠페인,필수,
새로,여인,실패,태풍,하품,
세,운영하다,예상하다,한눈,한국말,
이어지다,평가하다,예외,햇볕,횟수,
티브이,표,완전,홍수,흐리다,
봄,필요성,웃기다,가뭄,가능,
종류,감추다,유리,간접,값싸다,
낮다,머무르다,절대적,강력히,계란,
어깨,모,제작하다,개선되다,교문,
지적하다,부위,쥐,건네다,권투,
부부,비우다,최대한,게,긴장감,
오래,설치하다,턱,결심,김,
요구,십일월,팔리다,곧장,넷,
키우다,싸다,품다,교직,뒤편,
눕다,아울러,하하,구속하다,매달다,
발달하다,지시,형부,귀중하다,매주,
발전하다,형성하다,휴식,긁다,문제되다,
여행,형제,굳다,금지하다,받침,
죽음,화려하다,굳어지다,기사,북,
고통,거울,굶다,기숙사,불이익,
등장하다,덧붙이다,금년,나뭇잎,불필요하다,
공,딴,기기,내쉬다,산부인과,
듯이,몇몇,까맣다,넓어지다,새우다,
어울리다,무기,나침반,늘어지다,서명하다,
오월,세계적,농부,단독,수,
쉬다,안전,대학원,마당,수고하다,
알리다,양파,더럽다,마음껏,수학,
차다,이상,도달하다,몰려들다,신부,
과,일종,뒤늦다,미팅,쓸데없다,
멀리,처지,뒤지다,바,아뇨,
빼다,촬영,등록,바퀴,아래쪽,
예정,타다,디스크,발자국,아스팔트,
오빠,틀다,맛보다,뱉다,아하,
즐겁다,형편,무늬,벌어지다,알코올,
한계,가지,문장,보너스,액세서리,
흔히,감다,묻다,산책,에어컨,
바탕,고추,변호사,생기,염려하다,
사월,규칙,상,서적,오이,
싸우다,본질,상상력,소화,외삼촌,
언제,비치다,여학생,수험생,요,
예쁘다,빵,영업,시끄럽다,웃음소리,
갈등,서서히,예,신세대,위쪽,
느껴지다,스승,예방,안기다,음료수,
의지,신분,완성,어기다,인쇄,
전문,실시되다,유리하다,어때,잔디,
정확하다,아마도,자연환경,엘리베이터,전세,
초기,안방,증명하다,연구원,조깅,
나중,앓다,지적되다,연애,초대,
등,어제,지점,연휴,치다,
맛있다,오직,철저히,요약하다,캠퍼스,
며칠,위험하다,코스,운동하다,터널,
신경,자신,학부모,월요일,통,
찾아오다,잠시,합리적,위성,퇴직금,
미,졸업하다,해석하다,의외로,환갑,
사용,증거,힘쓰다,이모,가만있다,
시선,초점,거듭,자살,간편하다,
아무런,포함되다,귀국하다,제시,감동적,
언론,호랑이,기뻐하다,제외되다,건너오다,
투자,강화하다,날리다,조카,관광지,
지원,공포,내려놓다,주소,교복,
결정하다,권위,냉장고,찍히다,교포,
경영,덜,당근,철,귀가하다,
목표,둥글다,덜다,취직,날아다니다,
성장,미루다,뛰어넘다,타락,더더욱,
숲,본래,마누라,통화,등록금,
없어지다,부엌,맞이하다,틀림없이,뛰어다니다,
작년,세금,불행하다,파티,마음씨,
내려가다,실정,신고하다,회관,만,
떠오르다,영양,연속,계획하다,메모,
미치다,육체,외롭다,공연장,몸매,
새벽,입구,욕,국적,몸무게,
쓰레기,잔뜩,원장,근래,무관심,
얼른,적극,유물,나뉘다,반짝이다,
임금,최소한,저절로,낱말,배달,
피해,펼쳐지다,절,내외,번역,
한,경험하다,정비,냄비,부인,
무섭다,그이,주의,늑대,분주하다,
직장,넘치다,지난번,늘어서다,비닐봉지